time;Flex6;GyroY;angle;filteredAngle;Offset;P
14.321999999999937;663.8610816109643;-18.079965809348426;12.47;3.17;0.22;1.24
14.354999999999936;653.1274204340795;-9.518117686871275;2.81;2.23;0.23;1.24
14.387999999999936;656.3565873122313;-2.0124033639790166;5.72;1.89;0.22;1.24
14.420999999999935;653.7536416304828;6.289064893478605;3.38;1.59;0.22;1.24
14.453999999999935;657.94445291027;15.049539780678286;7.15;1.96;0.21;1.24
14.486999999999934;657.4730602241614;22.818973693070493;6.73;2.48;0.20;1.24
14.519999999999934;664.8256944479803;30.56094204686444;13.34;3.87;0.17;1.24
14.552999999999933;654.8898081547007;38.536084938858586;4.40;4.47;0.18;1.24
14.585999999999933;656.8108711661289;45.95292521815403;6.13;5.39;0.19;1.24
14.618999999999932;659.8844556699227;53.200188100146526;8.90;6.71;0.19;1.24
14.651999999999932;656.3492668907119;60.32109480949618;5.71;7.79;0.21;1.24
14.684999999999931;666.2049362974262;66.00975975836393;14.58;9.84;0.20;1.24
14.71799999999993;674.8927097183353;72.64585451460316;22.40;12.70;0.16;1.24
14.75099999999993;682.568277945016;79.01502286474067;29.31;16.21;0.10;1.24
14.78399999999993;684.5518856281747;84.04934778000823;31.10;19.77;0.06;1.24
14.81699999999993;677.4326619647228;89.39128559350821;24.69;22.52;0.06;1.24
14.849999999999929;679.5000376087644;92.52961531697314;26.55;25.32;0.06;1.24
14.882999999999928;687.6603347209651;96.06141439394523;33.89;28.70;0.04;1.24
14.915999999999928;680.9584872421029;99.01447138967252;27.86;31.25;0.06;1.24
14.948999999999927;691.8670422690734;99.38315173425002;37.68;34.58;0.05;1.24
14.981999999999926;701.3366594464087;102.87125504895229;46.20;38.57;0.02;1.24
15.014999999999926;696.9152988788107;103.30503478646175;42.22;41.82;0.02;1.24
15.047999999999925;706.167691028104;102.05759197933135;50.55;45.61;0.00;1.24
15.080999999999925;705.5627109641715;102.36605893103797;50.01;49.00;0.00;1.24
15.113999999999924;708.2151560610553;100.81649290933548;52.39;52.28;0.00;1.24
15.146999999999924;718.3414848302765;99.2220000485188;61.51;56.15;-0.03;1.24
15.179999999999923;717.7473527178666;96.20729237764158;60.97;59.55;-0.03;1.24
15.212999999999923;730.5195018682097;93.47202576447093;72.47;63.73;-0.08;1.24
15.245999999999922;723.5504305671403;88.59538102634458;66.20;66.79;-0.08;1.24
15.278999999999922;727.5699100707106;85.08422051389094;69.81;69.83;-0.08;1.24
15.311999999999921;730.6641672024961;79.04787145634305;72.60;72.71;-0.09;1.24
15.34499999999992;734.1369806685046;73.21316411156225;75.72;75.48;-0.09;1.24
15.37799999999992;733.6790873735929;67.35724770735627;75.31;77.78;-0.09;1.24
15.41099999999992;739.4219582301915;61.099922943299156;80.48;80.22;-0.10;1.24
15.44399999999992;735.8411039677773;54.715871019035106;77.26;81.91;-0.08;1.24
15.476999999999919;733.9656638923414;47.253943692844636;75.57;83.05;-0.05;1.24
15.509999999999918;740.8503080819933;39.64459742962254;81.77;84.48;-0.05;1.24
15.542999999999918;736.7014965167658;31.599886370165585;78.03;85.16;-0.02;1.24
15.575999999999917;738.4917167601091;23.628624593863016;79.64;85.70;0.00;1.24
15.608999999999916;743.9116180207775;15.565700402979685;84.52;86.44;0.00;1.24
15.641999999999916;731.4435883953962;7.491706506433431;73.30;85.72;0.05;1.24
15.674999999999915;737.3824446529079;-0.8090239419281253;78.64;85.35;0.07;1.24
15.707999999999915;745.3028991572943;-10.2232777274796;85.77;85.47;0.06;1.24
15.740999999999914;737.3806170775001;-17.043714203746546;78.64;84.65;0.07;1.24
15.773999999999914;740.1583834814085;-25.70463269194736;81.14;83.91;0.08;1.24
15.806999999999913;735.303488212625;-33.85018875064228;76.77;82.55;0.09;1.24
15.839999999999913;749.750346012063;-41.46104171383633;89.78;82.44;0.04;1.24
